symbol,charge,CN,Spin State,crystal radius,ionic radius,Key*,species,covalent,empirical,metallic
U,3,6,,1.165,1.025,R,U3+,,1.75,1.56
U,4,6,,1.03,0.89,,U4+,,1.75,1.56
U,4,7,,1.09,0.95,E,U4+,,1.75,1.56
U,4,8,,1.14,1,R*,U4+,,1.75,1.56
U,4,9,,1.19,1.05,,U4+,,1.75,1.56
U,4,12,,1.31,1.17,E,U4+,,1.75,1.56
U,5,6,,0.9,0.76,,U5+,,1.75,1.56
U,5,7,,0.98,0.84,E,U5+,,1.75,1.56
U,6,2,,0.59,0.45,,U6+,,1.75,1.56
U,6,4,,0.66,0.52,,U6+,,1.75,1.56
U,6,6,,0.87,0.73,*,U6+,,1.75,1.56
U,6,7,,0.95,0.81,E,U6+,,1.75,1.56
U,6,8,,1,0.86,,U6+,,1.75,1.56
V,2,6,,0.93,0.79,,V2+,1.25,1.35,1.34
V,3,6,,0.78,0.64,R*,V3+,1.25,1.35,1.34
V,4,5,,0.67,0.53,,V4+,1.25,1.35,1.34
V,4,6,,0.72,0.58,R*,V4+,1.25,1.35,1.34
V,4,8,,0.86,0.72,E,V4+,1.25,1.35,1.34
V,5,4,,0.495,0.355,R*,V5+,1.25,1.35,1.34
V,5,5,,0.6,0.46,*,V5+,1.25,1.35,1.34
V,5,6,,0.68,0.54,,V5+,1.25,1.35,1.34
W,4,6,,0.8,0.66,RM,W4+,1.46,1.35,1.3900000000000001
W,5,6,,0.76,0.62,R,W5+,1.46,1.35,1.3900000000000001
W,6,4,,0.56,0.42,*,W6+,1.46,1.35,1.3900000000000001
W,6,5,,0.65,0.51,,W6+,1.46,1.35,1.3900000000000001
W,6,6,,0.74,0.6,*,W6+,1.46,1.35,1.3900000000000001
Xe,8,4,,0.54,0.4,,Xe8+,1.3,,
Xe,8,6,,0.62,0.48,,Xe8+,1.3,,
Y,3,6,,1.04,0.9,R*,Y3+,1.62,1.8,1.8
Y,3,7,,1.1,0.96,,Y3+,1.62,1.8,1.8
Y,3,8,,1.159,1.019,R*,Y3+,1.62,1.8,1.8
Y,3,9,,1.215,1.075,R,Y3+,1.62,1.8,1.8
Yb,2,6,,1.16,1.02,,Yb2+,,1.75,1.76
Yb,2,7,,1.22,1.08,E,Yb2+,,1.75,1.76
Yb,2,8,,1.28,1.14,,Yb2+,,1.75,1.76
Yb,3,6,,1.008,0.868,R*,Yb3+,,1.75,1.76
Yb,3,7,,1.065,0.925,E,Yb3+,,1.75,1.76
Yb,3,8,,1.125,0.985,R,Yb3+,,1.75,1.76
Yb,3,9,,1.182,1.042,R,Yb3+,,1.75,1.76
Zn,2,4,,0.74,0.6,*,Zn2+,1.31,1.35,1.34
Zn,2,5,,0.82,0.68,*,Zn2+,1.31,1.35,1.34
Zn,2,6,,0.88,0.74,R*,Zn2+,1.31,1.35,1.34
Zn,2,8,,1.04,0.9,C,Zn2+,1.31,1.35,1.34
Zr,4,4,,0.73,0.59,R,Zr4+,1.48,1.55,1.6
Zr,4,5,,0.8,0.66,C,Zr4+,1.48,1.55,1.6
Zr,4,6,,0.86,0.72,R*,Zr4+,1.48,1.55,1.6
Zr,4,7,,0.92,0.78,*,Zr4+,1.48,1.55,1.6
Zr,4,8,,0.98,0.84,*,Zr4+,1.48,1.55,1.6
Zr,4,9,,1.03,0.89,,Zr4+,1.48,1.55,1.6
